QUI	57-008	67.95
QUI	57-011	83.95
QUI	57-014	92.95
QUI	57-091	3.25
QUI	57-092	299.95
QUI	57-093	3.25
QUI	57-094	299.95
QUI	57-101	4.5
QUI	57-102	425.95
QUI	57-103	4.5
QUI	57-104	425.95
QUI	57-1809	14.95
QUI	57-1810	17.95
QUI	57-200	5.95
QUI	57-201	1.5
QUI	57-2011	13.95
QUI	57-203	1.5
QUI	57-2031	13.95
QUI	57-236	1.5
QUI	57-2361	13.95
QUI	57-240	1.95
QUI	57-2401	17.95
QUI	57-440	0.59
QUI	57-441	0.59
QUI	57-443	0.59
QUI	57-445	0.59
QUI	57-450	2.39
QUI	57-470	2.39
QUI	57-490	2.99
QUI	57-520	4.95
QUI	57-525	4.95
QUI	57-530	4.95
QUI	57-540	5.95
QUI	57-550	5.95
QUI	57-601	5.95
QUI	57-602	5.95
QUI	57-604	4.95
QUI	57-607	6.95
QUI	57-610	10.95
QUI	57-660	15.95
QUI	57-701	15.95
QUI	57-702	15.95
QUI	57-704    	11.95
QUI	57-705    	14.95
QUI	57-706	12.95
QUI	57-708	23.95
QUI	57-709	25.95
QUI	57-710	22.95
QUI	57-711	32.95
QUI	57-718	48.95
QUI	57-719	50.95
QUI	57-720	9.95
QUI	57-721	38.95
QUI	57-723	47.95
QUI	57-750	6.95
QUI	57-810    	4.95
QUI	57-820    	6.95
QUI	57-830    	6.95
QUI	57-944	3.49
QUI	58-011	81.95
QUI	58-012	81.95
QUI	58-013	81.95
QUI	58-016	26.95
QUI	58-020	26.95
QUI	58-021	29.95
QUI	58-022	29.95
QUI	58-023	29.95
QUI	58-024	25.95
QUI	58-025	25.95
QUI	58-026	25.95
QUI	58-030	37.95
QUI	58-031	34.95
QUI	58-032	26.95
QUI	58-034	19.95
QUI	58-035	19.95
QUI	58-036	19.95
QUI	58-037	19.95
QUI	58-041	19.95
QUI	58-042	19.95
QUI	58-043	19.95
QUI	58-044	22.95
QUI	58-046	79.95
QUI	58-047	33.95
QUI	58-048	33.95
QUI	58-049	33.95
QUI	58-210	69.95
QUI	58-211	25.95
QUI	58-212	23.95
QUI	58-236	14.95
QUI	58-237	13.95
QUI	58-238	14.95
QUI	58-239	14.95
QUI	58-240	14.95
QUI	58-244	27.95
QUI	58-245	18.95
QUI	58-250	23.95
QUI	60-000	19.95
QUI	60-003	29.95
QUI	60-005	21.95
QUI	60-008	19.95
QUI	60-009	23.95
QUI	60-010	27.95
QUI	60-013	34.95
QUI	60-015	25.95
QUI	60-018	36.95
QUI	60-020	69.95
QUI	60-030	89.95
QUI	60-032	6.95
QUI	60-034	59.95
QUI	60-035	49.95
QUI	60-037	83.95
QUI	60-039	36.95
QUI	60-040	16.95
QUI	60-041	89.95
QUI	60-045	68.95
QUI	60-050	56.95
QUI	61-0101	207.95
QUI	61-0151	264.95
QUI	61-0171	239.95
QUI	61-0201	324.95
QUI	61-0211	284.95
QUI	61-0251	422.95
QUI	61-0261	379.95
QUI	61-0271	381.95
QUI	61-0281	349.95
QUI	61-0301	409.95
QUI	61-0311	519.95
QUI	61-0321	474.95
QUI	61-0371	564.95
QUI	61-0381	624.95
QUI	61-0391	579.95
QUI	61-0401	689.95
QUI	61-0411	649.95
QUI	61-0451	759.95
QUI	61-0461	714.95
QUI	61-0471	699.95
QUI	61-0481	649.95
QUI	61-0501	729.95
QUI	61-0551	839.95
QUI	61-0571	769.95
QUI	61-0604	265.95
QUI	61-0605	299.95
QUI	61-0606	269.95
QUI	61-0611	395.95
QUI	61-0631	499.95
QUI	61-0641	869.95
QUI	61-0651	769.95
QUI	61-0704	284.95
QUI	61-0705	319.95
QUI	611- 5411 	86.95
QUI	61-105	69.95
QUI	611-096	20.95
QUI	611-098	18.95
QUI	611-099	279.95
QUI	611-100	279.95
QUI	611-3411 	59.95
QUI	611-3431 	86.95
QUI	611-3441 	89.95
QUI	611-4411 	66.95
QUI	611-4421 	69.95
QUI	611-4431 	102.95
QUI	611-4441 	107.95
QUI	611-4494	314.95
QUI	611-4511  	77.95
QUI	611-4521  	77.95
QUI	611-4531  	114.95
QUI	611-4541	121.95
QUI	611-4594	359.95
QUI	611-5421	80.95
QUI	611-5431 	124.95
QUI	611-5441 	124.95
QUI	611-6004	51.95
